Phase;Stage;Match;Team;Continent;OrderTeam;Date;Time;xG;Score;Goals MT;Goals 2MT;Goals XtraTime;Additionnal time HT;Additionnal time FT;Possession;PassesCompleted;PassesTotal;Pass accuracy;Shots;Shots OT;Ycards;Rcards
Group;2;28;Germany;Europe;A;27/11/2022;20:00;1.3;1;0;1;0;2;6;36%;287;381;75.33%;11;4;3;0
Group;2;29;Cameroon;Africa;H;28/11/2022;11:00;2.2;3;1;2;0;6;6;41%;271;390;69.49%;13;8;2;0
Group;2;29;Serbia;Europe;A;28/11/2022;11:00;1.9;3;2;1;0;6;6;59%;437;556;78.6%;15;5;2;0
Group;2;30;Korea Republic;Asia;H;28/11/2022;14:00;1.8;2;0;2;0;5;10;63%;495;601;82.36%;22;6;2;1
Group;2;30;Ghana;Africa;A;28/11/2022;14:00;1.6;3;2;1;0;5;10;37%;270;351;76.92%;7;3;2;0
Group;2;31;Brazil;America;H;28/11/2022;17:00;1.0;1;0;1;0;1;6;54%;511;604;84.6%;13;5;1;0
Group;2;31;Switzerland;Europe;A;28/11/2022;17:00;0.3;0;0;0;0;1;6;46%;423;517;81.82%;6;0;1;0
Group;2;32;Portugal;Europe;H;28/11/2022;20:00;1.3;2;0;2;0;3;9;59%;525;643;81.65%;14;2;3;0
Group;2;32;Uruguay;America;A;28/11/2022;20:00;1.3;0;0;0;0;3;9;41%;315;438;71.92%;11;3;2;0
Group;3;33;Netherlands;Europe;H;29/11/2022;16:00;1.6;2;1;1;0;3;6;63%;739;814;90.79%;13;4;1;0
Group;3;33;Qatar;Asia;A;29/11/2022;16:00;0.1;0;0;0;0;3;6;37%;364;451;80.71%;5;3;0;0
Group;3;34;Ecuador;America;H;29/11/2022;16:00;0.9;1;0;1;0;6;6;61%;365;482;75.73%;9;4;0;0
Group;3;34;Senegal;Africa;A;29/11/2022;16:00;2.1;2;1;1;0;6;6;39%;203;312;65.06%;13;2;1;0
Group;3;35;Wales;Europe;H;29/11/2022;20:00;0.3;0;0;0;0;5;4;36%;272;352;77.27%;7;1;2;0
Group;3;35;England;Europe;A;29/11/2022;20:00;2.4;3;0;3;0;5;4;64%;545;626;87.06%;18;7;0;0
Group;3;36;Iran;Asia;H;29/11/2022;20:00;0.4;0;0;0;0;5;9;49%;385;508;75.79%;4;0;3;0
Group;3;36;USA;America;A;29/11/2022;20:00;1.2;1;1;0;0;5;9;51%;417;524;79.58%;12;5;1;0
Group;3;37;Tunisia;Africa;H;30/11/2022;16:00;0.5;1;0;1;0;2;8;35%;272;368;73.91%;5;3;1;0
Group;3;37;France;Europe;A;30/11/2022;16:00;0.8;0;0;0;0;2;8;65%;573;676;84.76%;10;3;0;0
Group;3;38;Australia;Oceania;H;30/11/2022;16:00;0.6;1;0;1;0;2;6;32%;215;348;61.78%;8;4;2;0
Group;3;38;Denmark;Europe;A;30/11/2022;16:00;0.6;0;0;0;0;2;6;68%;580;723;80.22%;13;3;1;0
Group;3;39;Saudi Arabia;Asia;H;30/11/2022;20:00;1.1;1;0;1;0;6;7;40%;192;329;58.36%;10;2;6;0
Group;3;39;Mexico;America;A;30/11/2022;20:00;2.3;2;0;2;0;6;7;60%;357;494;72.27%;26;10;1;0
Group;3;40;Poland;Europe;H;30/11/2022;20:00;0.3;0;0;0;0;3;6;27%;264;341;77.42%;4;0;1;0
Group;3;40;Argentina;America;A;30/11/2022;20:00;3.5;2;0;2;0;3;6;73%;827;911;90.78%;22;10;1;0
Group;3;41;Canada;America;H;01/12/2022;16:00;1.4;1;1;0;0;5;4;58%;480;573;83.77%;5;0;4;0
Group;3;41;Morocco;Africa;A;01/12/2022;16:00;0.5;2;2;0;0;5;4;42%;309;404;76.49%;6;2;0;0
Group;3;42;Croatia;Europe;H;01/12/2022;16:00;0.7;0;0;0;0;4;4;49%;508;616;82.47%;11;4;0;0
Group;3;42;Belgium;Europe;A;01/12/2022;16:00;3.0;0;0;0;0;4;4;51%;545;638;85.42%;16;3;1;0
Group;3;43;Japan;Asia;H;01/12/2022;20:00;1.4;2;0;2;0;1;7;18%;165;245;67.35%;6;3;3;0
Group;3;43;Spain;Europe;A;01/12/2022;20:00;1.0;1;1;0;0;1;7;82%;995;1106;89.96%;12;5;0;0
Group;3;44;Costa Rica;America;H;01/12/2022;20:00;1.3;2;0;2;0;1;10;32%;274;372;73.66%;7;5;1;0
Group;3;44;Germany;Europe;A;01/12/2022;20:00;5.7;4;1;3;0;1;10;68%;672;773;86.93%;32;11;0;0
Group;3;45;Korea Republic;Asia;H;02/12/2022;16:00;1.7;2;1;1;0;2;6;39%;301;391;76.98%;13;6;2;0
Group;3;45;Portugal;Europe;A;02/12/2022;16:00;1.3;1;1;0;0;2;6;61%;532;623;85.39%;13;6;0;0
Group;3;46;Ghana;Africa;H;02/12/2022;16:00;1.6;0;0;0;0;8;8;51%;374;492;76.02%;9;3;2;0
Group;3;46;Uruguay;America;A;02/12/2022;16:00;1.8;2;2;0;0;8;8;49%;365;475;76.84%;12;6;5;0
Group;3;47;Serbia;Europe;H;02/12/2022;20:00;1.3;2;2;0;0;3;7;53%;400;519;77.07%;12;4;6;0
Group;3;47;Switzerland;Europe;A;02/12/2022;20:00;2.7;3;2;1;0;3;7;47%;343;451;76.05%;14;7;4;0
Group;3;48;Cameroon;Africa;H;02/12/2022;20:00;0.5;1;0;1;0;4;9;35%;247;325;76,00%;7;3;6;1
Group;3;48;Brazil;America;A;02/12/2022;20:00;2.5;0;0;0;0;4;9;65%;507;594;85.35%;21;7;2;0
Round of 16;4;49;Netherlands;Europe;H;03/12/2022;16:00;1.7;3;2;1;0;1;6;42%;332;442;75.11%;11;6;2;0
Round of 16;4;49;USA;America;A;03/12/2022;16:00;1.5;1;0;1;0;1;6;58%;497;623;79.78%;17;6;0;0
